1 着,2 着,2連 対率,3 着,3連 対率,B,S,Unnamed: 0,ギヤ 倍数,マ,予 想,勝 率,好 気 合,差,捲,枠 番,着 外,競走得点,級 班,総 評,脚 質,車 番,逃,選手名 府県/年齢/期別
5,6,45.8,3,58.3,5,1,0,3.92,1,○,20.8,,4,4,1,10,73.66,A3,3,両,1,2,中山 健  新　潟/37/89
1,5,33.3,1,38.8,0,0,1,3.86,3,×,5.5,,3,0,2,11,72.77,A3,3,追,2,0,岡崎 徹  神奈川/49/70
9,6,83.3,3,100.0,0,1,2,3.92,5,◎,50.0,,10,0,3,0,78.33,A3,1,追,3,0,鰐淵 圭佑  群　馬/37/90
1,1,9.5,4,28.5,0,0,3,3.85,0,▲,4.7,,2,0,4,15,67.45,A3,5,追,4,0,志村 正洋  神奈川/46/77
4,7,45.8,3,58.3,11,6,4,3.92,3,注,16.6,,0,1,5,10,70.5,A3,3,逃,5,7,角口 聖也  千　葉/32/94
0,3,14.2,3,28.5,0,0,5,3.92,2,△,0.0,,1,0,6,15,65.76,A3,5,追,6,0,茨木 基成  東　京/58/60
2,2,19.0,1,23.8,0,5,0,3.93,1,▲,9.5,,3,0,1,16,67.7,A3,4,追,1,0,三澤 勝成  宮　城/43/83
0,1,4.7,7,38.0,0,0,1,3.92,1,注,0.0,,0,0,2,13,67.0,A3,5,追,2,0,酒井 実  埼　玉/49/70
4,4,44.4,4,66.6,1,0,2,3.79,4,○,22.2,,1,3,3,6,73.55,A3,3,両,3,0,村上 貴彦  栃　木/35/100
4,6,47.6,7,80.9,5,7,3,3.85,2,◎,19.0,,4,3,4,4,75.57,A3,2,両,4,1,森田 達也  福　島/37/88
2,3,23.8,0,23.8,0,0,4,3.85,0,×,9.5,,5,0,5,16,68.76,A3,4,追,5,0,阿部 晃  宮　城/40/86
0,1,4.7,4,23.8,0,1,5,3.92,1,,0.0,,0,0,6,16,65.61,A3,5,追,6,0,宮原 貴之  栃　木/50/67
0,2,33.3,0,33.3,1,2,6,3.92,0,△,0.0,,1,0,6,4,68.66,A3,4,逃,7,1,相川 巧  埼　玉/31/98
0,2,10.0,3,25.0,0,2,0,3.83,0,▲,0.0,,2,0,1,15,80.57,A2,4,追,1,0,平澤 秀信  北海道/48/73
0,3,13.0,3,26.0,0,0,1,3.92,1,△,0.0,,2,0,2,17,81.18,A2,4,追,2,0,山田 圭二  愛　知/49/70
3,0,16.6,3,33.3,0,5,2,3.85,0,○,16.6,,3,0,3,12,89.72,A1,2,追,3,0,川津 悠揮  北海道/32/96
5,4,42.8,3,57.1,12,0,3,3.92,0,×,23.8,,0,2,4,9,84.66,A1,4,逃,4,7,山崎 晃  石　川/35/95
1,2,14.2,4,33.3,0,0,4,3.92,2,注,4.7,,0,1,5,14,81.66,A2,4,追,5,0,今村 俊雄  山　梨/41/99
0,0,0.0,4,22.2,3,0,5,3.92,0,,0.0,,0,0,6,14,77.88,A2,5,追,6,0,渋川 聡士  新　潟/43/84
5,2,58.3,1,66.6,7,2,6,3.85,0,◎,41.6,,1,2,6,4,92.16,A2,2,逃,7,4,坂本 紘規  青　森/24/117
3,5,44.4,2,55.5,4,10,0,3.92,1,×,16.6,,2,3,1,8,92.11,A1,2,両,1,2,菅谷 隆司  東　京/35/96
1,4,29.4,2,41.1,0,1,1,3.92,1,○,5.8,,4,0,2,10,90.64,A1,2,両,2,0,西谷 岳文  京　都/42/93
2,1,37.5,0,37.5,3,1,2,3.92,0,▲,25.0,,0,1,3,5,92.71,A1,2,逃,3,2,高橋 幸司  山　形/32/99
5,6,52.3,0,52.3,9,4,3,3.92,0,注,23.8,,1,5,4,10,91.23,A1,2,逃,4,5,磯島 康祐  青　森/29/105
15,1,84.2,0,84.2,12,2,4,3.83,0,◎,78.9,,0,11,5,3,96.15,A1,1,逃,5,5,藤井 侑吾  愛　知/26/115
9,4,54.1,1,58.3,8,0,5,3.92,0,,37.5,,1,8,6,10,90.17,A1,2,逃,6,4,坂木田 雄介  千　葉/47/78
2,1,50.0,1,66.6,1,0,6,3.93,0,△,33.3,,2,1,6,2,90.66,A1,2,逃,7,0,古川 宗行  東　京/34/96
4,1,27.7,2,38.8,2,0,0,3.92,0,△,22.2,,0,3,1,11,68.27,A3,4,逃,1,2,浅井 雄三  岐　阜/48/79
0,2,10.5,3,26.3,0,0,1,3.92,0,注,0.0,,2,0,2,14,71.66,A3,3,追,2,0,工 正信  広　島/57/55
3,3,37.5,3,56.2,8,5,2,3.86,1,○,18.7,,1,0,3,7,69.81,A3,4,両,3,4,秋永 昂人  福　岡/34/98
0,7,33.3,2,42.8,0,4,3,3.85,7,×,0.0,,0,0,4,12,70.42,A3,4,追,4,0,杉山 正和  三　重/54/59
0,3,15.7,5,42.1,0,0,4,3.92,2,▲,0.0,,1,0,5,11,66.36,A3,5,追,5,0,谷尾 佳昭  岡　山/58/53
0,0,0.0,0,0.0,0,0,5,3.77,0,,0.0,,0,0,6,12,63.33,A3,6,追,6,0,長澤 道雄  兵　庫/50/65
6,3,50.0,4,72.2,0,7,6,3.92,1,◎,33.3,,7,1,6,5,75.77,A3,2,追,7,0,中野 功史  長　崎/43/84
1,2,16.6,1,22.2,7,0,0,3.92,0,×,5.5,,1,0,1,14,67.5,A3,4,逃,1,2,渡辺 大剛  京　都/31/100
8,3,61.1,0,61.1,4,0,1,3.86,1,○,44.4,,2,7,2,7,74.77,A3,2,追,2,1,河添 信也  熊　本/46/74
0,2,9.5,3,23.8,0,5,2,3.92,0,▲,0.0,,2,0,3,16,66.28,A3,5,追,3,0,池内 吾郎  愛　媛/50/65
0,3,14.2,2,23.8,0,6,3,3.85,1,注,0.0,,2,0,4,16,68.95,A3,4,追,4,0,中武 克雄  大　阪/57/57
4,11,62.5,6,87.5,4,0,4,3.92,6,◎,16.6,,2,5,5,3,75.66,A3,2,両,5,2,井上 将志  兵　庫/36/100
0,0,0.0,0,0.0,0,0,5,3.92,0,,0.0,,0,0,6,18,62.33,A3,6,追,6,0,坂野 耕治  徳　島/42/82
