,予 想,好 気 合,総 評,枠 番,車 番,選手名 府県/年齢/期別,級 班,脚 質,ギヤ 倍数,直近4ヶ月の成績,直近4ヶ月の成績.1,直近4ヶ月の成績.2,直近4ヶ月の成績.3,直近4ヶ月の成績.4,直近4ヶ月の成績.5,直近4ヶ月の成績.6,直近4ヶ月の成績.7,直近4ヶ月の成績.8,直近4ヶ月の成績.9,直近4ヶ月の成績.10,直近4ヶ月の成績.11,直近4ヶ月の成績.12,直近4ヶ月の成績.13
0,予 想,好 気 合,総 評,枠 番,車 番,選手名 府県/年齢/期別,級 班,脚 質,ギヤ 倍数,競走得点,S,B,逃,捲,差,マ,1 着,2 着,3 着,着 外,勝 率,2連 対率,3連 対率
1,△,,4,1,1,浅井 雄三  岐　阜/48/79,A3,逃,3.92,68.27,0,2,2,3,0,0,4,1,2,11,22.2,27.7,38.8
2,注,,3,2,2,工 正信  広　島/57/55,A3,追,3.92,71.66,0,0,0,0,2,0,0,2,3,14,0.0,10.5,26.3
3,○,,4,3,3,秋永 昂人  福　岡/34/98,A3,両,3.86,69.81,5,8,4,0,1,1,3,3,3,7,18.7,37.5,56.2
4,×,,4,4,4,杉山 正和  三　重/54/59,A3,追,3.85,70.42,4,0,0,0,0,7,0,7,2,12,0.0,33.3,42.8
5,▲,,5,5,5,谷尾 佳昭  岡　山/58/53,A3,追,3.92,66.36,0,0,0,0,1,2,0,3,5,11,0.0,15.7,42.1
6,,,6,6,6,長澤 道雄  兵　庫/50/65,A3,追,3.77,63.33,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0
7,◎,,2,6,7,中野 功史  長　崎/43/84,A3,追,3.92,75.77,7,0,0,1,7,1,6,3,4,5,33.3,50.0,72.2
8,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２,【誘導員】冨岡 健一 Ａ２
